Meldingstidspunkt,Radiokallesignal (ERS),Fartøynavn (ERS),Aktivitet,Starttidspunkt,Stopptidspunkt,Varighet,Pumpet fra fartøy,pair
04.01.2024 21:09:00,LMCE,Arnøyfjord,Omlokalisering av fangst / overpumping,2024-01-04 20:44:00,04.01.2024 21:02:00,18.0,LJOB,"('LJOB', 'LMCE')"
05.01.2024 20:12:00,LDIW,Fugløyfjell,Omlokalisering av fangst / overpumping,2024-01-05 18:00:00,05.01.2024 19:30:00,90.0,LLAV,"('LDIW', 'LLAV')"
06.01.2024 07:30:00,LDIW,Fugløyfjell,Omlokalisering av fangst / overpumping,2024-01-06 06:30:00,06.01.2024 07:25:00,55.0,LJDJ,"('LDIW', 'LJDJ')"
06.01.2024 09:51:00,LJTV,Flipper,Omlokalisering av fangst / overpumping,2024-01-06 09:09:00,06.01.2024 09:15:00,6.0,LLLP,"('LJTV', 'LLLP')"
06.01.2024 10:08:00,LADH,Albacore,Omlokalisering av fangst / overpumping,2024-01-06 09:32:00,06.01.2024 09:51:00,19.0,LLLP,"('LADH', 'LLLP')"
08.01.2024 03:44:00,LJTV,Flipper,Omlokalisering av fangst / overpumping,2024-01-08 03:11:00,08.01.2024 03:43:00,32.0,3YKA,"('3YKA', 'LJTV')"
08.01.2024 03:53:00,LGGL,Skår Senior,Omlokalisering av fangst / overpumping,2024-01-08 03:04:00,08.01.2024 03:53:00,49.0,LJSY,"('LGGL', 'LJSY')"
08.01.2024 06:05:00,LGGL,Skår Senior,Omlokalisering av fangst / overpumping,2024-01-08 05:37:00,08.01.2024 06:03:00,26.0,LJTV,"('LGGL', 'LJTV')"
09.01.2024 19:00:00,LMCW,Marie,Omlokalisering av fangst / overpumping,2024-01-09 17:58:00,09.01.2024 18:52:00,54.0,LALD,"('LALD', 'LMCW')"
10.01.2024 17:00:00,LADH,Albacore,Omlokalisering av fangst / overpumping,2024-01-10 16:22:00,10.01.2024 16:51:00,29.0,LCJG,"('LADH', 'LCJG')"
11.01.2024 17:40:00,LDIW,Fugløyfjell,Omlokalisering av fangst / overpumping,2024-01-11 17:35:00,11.01.2024 17:35:00,0.0,LEYN,"('LDIW', 'LEYN')"
11.01.2024 18:26:00,JWPS,Harto,Omlokalisering av fangst / overpumping,2024-01-11 17:41:00,11.01.2024 17:41:00,0.0,LEYN,"('JWPS', 'LEYN')"
12.01.2024 23:59:00,LDKY,Harvest,Omlokalisering av fangst / overpumping,2024-01-12 20:45:00,12.01.2024 21:55:00,70.0,LJVB,"('LDKY', 'LJVB')"
13.01.2024 17:01:00,LADH,Albacore,Omlokalisering av fangst / overpumping,2024-01-13 16:24:00,13.01.2024 16:55:00,31.0,LCJG,"('LADH', 'LCJG')"
13.01.2024 19:34:00,LDKY,Harvest,Omlokalisering av fangst / overpumping,2024-01-13 01:32:00,13.01.2024 02:33:00,61.0,LLGZ,"('LDKY', 'LLGZ')"
14.01.2024 19:22:00,LGGL,Skår Senior,Omlokalisering av fangst / overpumping,2024-01-14 19:08:00,14.01.2024 19:20:00,12.0,3YKA,"('3YKA', 'LGGL')"
15.01.2024 15:29:00,JXUE,Ola Ryggefjord,Omlokalisering av fangst / overpumping,2024-01-15 11:08:00,15.01.2024 11:42:00,34.0,LJOD,"('JXUE', 'LJOD')"
15.01.2024 15:30:00,JXUE,Ola Ryggefjord,Omlokalisering av fangst / overpumping,2024-01-15 13:30:00,15.01.2024 14:30:00,60.0,LHEA,"('JXUE', 'LHEA')"
15.01.2024 23:12:00,LDIW,Fugløyfjell,Omlokalisering av fangst / overpumping,2024-01-15 23:09:00,15.01.2024 23:10:00,1.0,LLWG,"('LDIW', 'LLWG')"
16.01.2024 16:08:00,LADH,Albacore,Omlokalisering av fangst / overpumping,2024-01-16 14:19:00,16.01.2024 14:57:00,38.0,LJOB,"('LADH', 'LJOB')"
17.01.2024 13:15:00,3YMI,Krossøy,Omlokalisering av fangst / overpumping,2024-01-17 08:00:00,17.01.2024 08:52:00,52.0,LIRW,"('3YMI', 'LIRW')"
18.01.2024 21:40:00,LCGV,Edna Synnøve,Omlokalisering av fangst / overpumping,2024-01-18 20:20:00,18.01.2024 20:40:00,20.0,LJZH,"('LCGV', 'LJZH')"
18.01.2024 21:59:00,LCGV,Edna Synnøve,Omlokalisering av fangst / overpumping,2024-01-17 23:44:00,18.01.2024 00:03:00,19.0,3YKA,"('3YKA', 'LCGV')"
20.01.2024 06:06:00,LMWF,Fonnes,Omlokalisering av fangst / overpumping,2024-01-20 05:02:00,20.01.2024 06:02:00,60.0,LJVB,"('LJVB', 'LMWF')"
20.01.2024 18:56:00,LKLV,Lønningen,Omlokalisering av fangst / overpumping,2024-01-20 17:10:00,20.01.2024 18:17:00,67.0,LLAS,"('LKLV', 'LLAS')"
24.01.2024 05:46:00,LCGV,Edna Synnøve,Omlokalisering av fangst / overpumping,2024-01-23 19:35:00,23.01.2024 20:30:00,55.0,LLQX,"('LCGV', 'LLQX')"
26.01.2024 03:01:00,LJZH,Arnøytind Senior,Omlokalisering av fangst / overpumping,2024-01-26 02:01:00,26.01.2024 02:01:00,0.0,3YMI,"('3YMI', 'LJZH')"
